x1
0.0098
0.0098
0.0102
0.0102
0.0103
0.0104
0.0101
0.0103
0.0104
0.0104
0.0105
0.0105
0.0105
0.0105
0.0105
0.0104
0.0104
0.0106
0.0105
0.0106
0.0105
0.0105
0.0105
0.0106
